month,username,channel name,country,main topic,likes,posts,followers,comments,views
January,actionDan,wizardHighSchool,US,education,53821,431,95800,4129,442422
January,cryptozoologist,australian_wildlife,,nature,15722,702,1234050,156548,6744523
January,BigGiantCircles,JustBeatz,US,music,3065,43,9203,3021,46456
January,mangledPixel,ArtAllDay,CA,art,965039,534,8131230,398583,23267961
February,actionDan,wizardHighSchool,US,education,5864,402,94300,3830,608010
February,BigGiantCircles,JustBeatz,US,music,19165,367,78023,15371,454132
February,cryptozoologist,australian_wildlife,,nature,25624,809,1456706,262398,7690402
February,mangledPixel,ArtAllDay,CA,art,228233,96,8300936,896,89310
March,actionDan,wizardHighSchool,US,education,53282,934,120343,6902,802180
March,BigGiantCircles,JustBeatz,US,music,30065,430,93203,38021,416456
March,cryptozoologist,australian_wildlife,,nature,8549,1203,1705335,120595,2565870
March,mangledPixel,ArtAllDay,CA,art,958175,654,89413,455632,42587177
